"","B cell","Dendritic cell","Macrophage","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"Clec4e",3.55247427948636,2.65973026912313,6.17848701494574,3.50525955991319,2.71611966941641,6.1825579883989,4.13541876945631,7.88327210600683
"Clec5a",1.84425450486913,0,6.58853618360097,2.44304161500685,2.02292413409484,7.40985287474539,6.6502980459787,6.87612446789434
"Cma1",5.20552286527995,5.25678584183231,5.34633783979166,5.3554683892344,5.12859394112823,0,0,2.55468861736944
"Ctsw",6.84999592699075,6.81637094161974,7.16849304594918,9.08326687874989,7.40771158210628,0,0,4.91897949249899
"Cxcl2",6.76418160501719,7.41964646567772,12.1761682009743,6.38957088458954,6.75812112072058,3.63938476725441,0,5.66782079624969
"Cxcl3",0,3.54080817111492,4.63282213949975,0,0.876294621185,0,0,0
"Cxcr2",0,0,0,1.98498296435927,0.638864439020138,6.34392699889581,3.59092816755755,8.27508031360267
"Cxcr6",3.80254147723359,3.54080817111492,4.07664595803119,7.46789489926987,4.31770233053567,0,0,2.41513518658909
"Dpep2",1.68731934221485,4.08384706231283,7.16849304594918,1.30992699741717,0.876294621185,0,4.52978644096093,0.624533108880708
"Ear2",2.11465554349358,4.47745687525317,7.85274003955977,3.06977943777837,1.56064684016928,6.77981811141087,7.33289581610316,7.20224323696083
"F630040K05Rik",0.45427722054489,0,0,0,0,0,0,0
"Fcer1a",1.07744036461227,0,0,0,1.25867428731541,6.00083943319059,0,5.37949570838639
"Fcer2a",5.49318139200725,3.54080817111492,4.07664595803119,3.83931561769774,3.26829926454988,1.95059140673861,0,4.66545140885902
"Fcgr4",5.1464494949866,5.61094628970029,9.57535915757691,5.24725340937048,5.03363772253474,5.36157935049781,0,6.26377910455855
"Fcmr",7.78199544265849,6.23779476325755,5.60344972809904,6.22813559624027,6.12520118960299,3.63938476725441,2.70594736231395,6.2739142750187
"Fcrl1",6.31216414541654,4.47745687525317,5.34633783979166,5.06799911753724,4.80835923469189,2.75074777180255,2.70594736231395,3.86223268746783
"G430095P16Rik",2.11465554349358,4.08384706231283,0,1.30992699741717,2.65362852157003,1.95059140673861,5.09377866262286,2.41513518658909
"Gapt",1.98578085427568,3.54080817111492,5.34633783979166,1.30992699741717,0.876294621185,6.44227813378092,7.42853368964583,6.06800090970833
"Gm13986",1.5112054484713,0,0,0,0.876294621185,2.75074777180255,2.70594736231395,2.08755478243132
"Gm20324",3.94801699624119,4.08384706231283,3.15971118858031,5.45612958882891,4.57538649847982,1.95059140673861,0,3.27312628692297
"Gm5544",0,0,3.15971118858031,0,0.354510309590756,0,0,0
"Gm8113",0.45427722054489,0,0,1.30992699741717,0.354510309590756,0,2.70594736231395,3.75053915044526
