"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"Ear2",3.59511201293723,5.42979212819742,9.12038189481559,8.72127910952065,7.23840473932508,5.2320991418967,2.67600457086121,6.77981811141087
"F730016J06Rik",0,0,0,0,0,0,0,3.63938476725441
"Fcer1a",0.84138194547934,0,0,0,0,0,0,6.00083943319059
"Fcer2a",8.42888893814184,5.42979212819742,6.49007089098767,7.05070789329065,0,6.21277809641271,6.0376024524077,1.95059140673861
"Fcgr4",3.49735091790261,0,8.38514338989102,5.74501082272223,0,3.72193277920873,2.95206223858638,5.36157935049781
"Fcmr",9.88987423743074,8.20817017152062,8.17935622737514,8.30738058795774,7.97154355395077,8.00617211350101,7.92029265809298,3.63938476725441
"Fcrl1",7.78862599196301,6.00355489717663,6.80878545766404,6.3209786410585,0,5.95362865543527,5.59005736784392,2.75074777180255
"G430095P16Rik",2.87462487446592,5.42979212819742,4.53743413063857,5.74501082272223,5.6724253419715,0,4.2110289910805,1.95059140673861
"Gapt",4.43201777971662,4.46287892025577,5.50603203149944,4.77166321491429,6.65821148275179,3.72193277920873,0,6.44227813378092
"Gm13986",1.75501441617638,0,0,0,0,0,0,2.75074777180255
"Gm20324",4.5341511358077,3.52685954615759,5.50603203149944,4.77166321491429,0,5.95362865543527,5.50698249239783,1.95059140673861
"Gm5544",0.84138194547934,0,0,0,0,0,0,0
"Gm8113",0,3.52685954615759,0,0,0,0,0,0
"Gm9733",2.05903075570522,7.31192752807004,7.29053089486733,9.52716830914237,6.65821148275179,3.72193277920873,1.88573747915842,4.39624901000793
"Gzma",7.49769857734925,7.21304024912684,7.93925270191296,7.72469334861516,7.65105169117893,12.5857469086445,7.61778179169057,2.75074777180255
"Gzmb",0.84138194547934,0,0,0,0,7.86237276424473,2.95206223858638,0
"H2-Eb2",5.77715833234396,6.00355489717663,4.53743413063857,5.74501082272223,5.6724253419715,0,3.98411516472716,0
"I830127L07Rik",3.68666686851936,0,6.80878545766404,7.72469334861516,10.2888660741658,5.95362865543527,4.1020287454854,10.8835995485012
"Ifi205",1.36934434830431,6.73149768188789,4.53743413063857,4.77166321491429,0,0,1.88573747915842,0
"Ifitm6",4.95824386595183,6.99226754053634,9.28360286623947,9.24380034350575,10.1686721181322,5.2320991418967,4.8729216598241,10.7769113800019
"Il4",1.36934434830431,0,0,0,5.6724253419715,0,1.23125353197806,3.26243143449706
"Il9r",4.48398806564501,0,0,5.74501082272223,0,0,3.71472689121965,0
"Itga2b",0,0,0,0,5.6724253419715,0,0,3.9379702621365
"Itgam",2.30999923981722,4.46287892025577,6.08037341646402,5.74501082272223,9.10590850857116,6.94194223439128,2.95206223858638,8.69211836134288
"Itgax",2.30999923981722,8.10163017317693,0,4.77166321491429,0,6.21277809641271,2.95206223858638,1.95059140673861
"Izumo1r",4.84357173843053,4.46287892025577,4.53743413063857,4.77166321491429,0,3.72193277920873,6.93420746070287,1.95059140673861
"Klra13-ps",3.0225259657015,0,0,0,0,9.67608607735581,4.40705584788977,0
"Klra7",3.0225259657015,3.52685954615759,0,0,0,8.96866679319521,3.98411516472716,0
"Klra8",3.0225259657015,0,7.29053089486733,4.77166321491429,0,10.0358719723027,3.18368553536341,0
"Klrc1",2.70981102863803,3.52685954615759,0,0,0,8.00617211350101,4.1020287454854,1.95059140673861
"Klrd1",5.83833060529119,8.25862801730774,6.49007089098767,7.05070789329065,0,10.1486625843756,7.47208045504283,0
"Klre1",3.27938541649301,3.52685954615759,5.50603203149944,4.77166321491429,0,9.71847022601352,3.85569962953473,0
"Klrg1",1.75501441617638,3.52685954615759,6.08037341646402,0,0,7.52298812971565,3.18368553536341,0
"Klri2",2.05903075570522,0,4.53743413063857,4.77166321491429,0,8.00617211350101,1.23125353197806,0
