"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","Basophil","T cell"
"Gm43291",0,0,0,0,0,0,5.73065902578797,7.12166172106825
"Ngp",0,0,0.964320154291225,0,2187.5,15.1515151515152,70349.5702005731,16.0237388724036
"Pax5",0,0,0,0,0,0,0,14.8367952522255
"Prg2",0,0,0,0,0,0,57.3065902578797,0.593471810089021
"Ccr6",0,0,0,3.47222222222222,0,0,0,5.93471810089021
"Clec4a4",0,0,1.92864030858245,3.47222222222222,0,0,0,0
"Ear6",0,0,31.8225650916104,0,0,0,5.73065902578797,0.593471810089021
"Epx",0,0,0,0,0,0,2.86532951289398,0.593471810089021
"Gzmk",0,0,0,0,0,0,0,2.9673590504451
"Tmigd3",0,0,0,0,0,0,0,0.593471810089021
"Tlr8",0,0,0,0,0,0,0,0.593471810089021
"4930430E12Rik",0,0,7.7145612343298,0,0,0,0,0
"Gm11695",0,0,0,0,0,0,0,0.593471810089021
"Gm6209",0,0,2.89296046287367,0,0,0,0,0
