"","B cell","Dendritic cell","Macrophage","Monocyte","Neutrophil","Basophil","NK cell","T cell"
"Zap70",0,0,0,0,3.52112676056338,2.86532951289398,77.1428571428571,96.1424332344214
"9830107B12Rik",0,0,5.74712643678161,0,84.5070422535211,77.3638968481375,0,1.18694362017804
"A530030E21Rik",0,0,0,0,0,0,14.2857142857143,3.56083086053412
"Arhgef37",0,0,0,0,0,0,2.85714285714286,0.593471810089021
"Camp",92.5925925925926,52.6315789473684,821.83908045977,22.2222222222222,31042.2535211268,56000,0,7.12166172106825
"Cebpe",49.3827160493827,0,201.149425287356,133.333333333333,433.098591549296,1143.2664756447,11.4285714285714,2.37388724035608
"Gfi1b",0,0,0,0,3.52112676056338,2.86532951289398,0,0
"Gm16194",0,0,0,0,3.52112676056338,5.73065902578797,0,0
"Gm43291",80.2469135802469,0,5.74712643678161,0,3.52112676056338,5.73065902578797,17.1428571428571,7.12166172106825
"Ngp",61.7283950617284,52.6315789473684,97.7011494252874,0,47535.2112676056,70349.5702005731,22.8571428571429,16.0237388724036
"Pax5",49.3827160493827,0,0,0,0,0,28.5714285714286,14.8367952522255
"Prg2",55.5555555555556,52.6315789473684,86.2068965517241,66.6666666666667,1295.77464788732,57.3065902578797,2.85714285714286,0.593471810089021
