GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM329270,Spleen,Spleen,,Spleen,Control,Control,,Control,Genotype unknown
GSM513572,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513576,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513578,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513580,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513582,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513584,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513586,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513588,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513590,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513594,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513596,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513598,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513600,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513602,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513604,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513606,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513608,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513610,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513612,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513614,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513616,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513618,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM513620,Thymus,Thymus,,Thymus,Control,Control,,Control,Genotype unknown
GSM276694,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM276695,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM276696,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM432387,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM2193077,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM2193078,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM1857476,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM1857477,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
GSM1857478,Uterus,Uterus,,Uterus,Control,Control,,Control,Genotype unknown
