GSMID,tissue1,tissue2,tissue3,Tissue,disease1,disease2,disease3,Disease,Genotype
GSM779134,Uterus,Uterus,,Uterus,Disease unknown,Disease unknown,,Disease unknown,SRC-2 mutant
GSM779135,Uterus,Uterus,,Uterus,Disease unknown,Disease unknown,,Disease unknown,SRC-2 mutant
GSM857316,Uterus,Ovariectomized uterus,,Ovariectomized uterus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM857317,Uterus,Ovariectomized uterus,,Ovariectomized uterus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM2336816,Uterus,Ovariectomized uterus,,Ovariectomized uterus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM2336817,Uterus,Ovariectomized uterus,,Ovariectomized uterus,Disease unknown,Disease unknown,,Disease unknown,Wild type
GSM1558464,Heart,Ventricle,,Ventricle,Diseases of the circulatory system,Akt-induced mitochondrial dysfunction,,Akt-induced mitochondrial dysfunction,Akt activated
GSM1558465,Heart,Ventricle,,Ventricle,Diseases of the circulatory system,Akt-induced mitochondrial dysfunction,,Akt-induced mitochondrial dysfunction,Akt activated
GSM1558466,Heart,Ventricle,,Ventricle,Diseases of the circulatory system,Akt-induced mitochondrial dysfunction,,Akt-induced mitochondrial dysfunction,Akt activated
GSM760500,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Induced transient focal ischaemia,,Induced transient focal ischaemia,Beta2-AR KO
GSM760502,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Induced transient focal ischaemia,,Induced transient focal ischaemia,Beta2-AR KO
GSM760503,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Induced transient focal ischaemia,,Induced transient focal ischaemia,Beta2-AR KO
GSM760504,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Induced transient focal ischaemia,,Induced transient focal ischaemia,Beta2-AR KO
GSM760505,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Induced transient focal ischaemia,,Induced transient focal ischaemia,Beta2-AR KO
GSM760506,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Induced transient focal ischaemia,,Induced transient focal ischaemia,Beta2-AR KO
GSM760493,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Ischemia,,Ischemia,Wild type
GSM760494,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Ischemia,,Ischemia,Wild type
GSM760495,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Ischemia,,Ischemia,Wild type
GSM760496,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Ischemia,,Ischemia,Wild type
GSM760497,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Ischemia,,Ischemia,Wild type
GSM760498,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Ischemia,,Ischemia,Wild type
GSM760499,Brain,Brain hemisphere,,Brain hemisphere,Diseases of the circulatory system,Ischemia,,Ischemia,Wild type
GSM770095,Intestine,Large intestine,Colorectum,Colorectum,Diseases of the digestive system,Inflamed colon,,Inflamed colon,Genotype unknown
GSM770096,Intestine,Large intestine,Colorectum,Colorectum,Diseases of the digestive system,Inflamed colon,,Inflamed colon,Genotype unknown
GSM770097,Intestine,Large intestine,Colorectum,Colorectum,Diseases of the digestive system,Inflamed colon,,Inflamed colon,Genotype unknown
GSM807536,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Nephritis,,Nephritis,Genotype unknown
GSM807537,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Nephritis,,Nephritis,Genotype unknown
GSM807538,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Nephritis,,Nephritis,Genotype unknown
GSM807540,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Nephritis,,Nephritis,Genotype unknown
GSM807505,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807506,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807507,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807509,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807510,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807511,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807512,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807513,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807514,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807515,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807516,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM807517,Kidney,Kidney,,Kidney,Diseases of the genitourinary system,Proteinuric,,Proteinuric,Genotype unknown
GSM329261,Spleen,Spleen,,Spleen,Diseases of the musculoskeletal system or connective tissue,Arthritis,,Arthritis,Genotype unknown
GSM329262,Spleen,Spleen,,Spleen,Diseases of the musculoskeletal system or connective tissue,Arthritis,,Arthritis,Genotype unknown
GSM329265,Spleen,Spleen,,Spleen,Diseases of the musculoskeletal system or connective tissue,Arthritis,,Arthritis,Genotype unknown
GSM329266,Spleen,Spleen,,Spleen,Diseases of the musculoskeletal system or connective tissue,Arthritis,,Arthritis,Genotype unknown
GSM444054,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Fracture,,Fracture,Genotype unknown
GSM444050,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Fracture,,Fracture,Genotype unknown
GSM444051,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Fracture,,Fracture,Genotype unknown
GSM444052,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Fracture,,Fracture,Genotype unknown
GSM444053,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Fracture,,Fracture,Genotype unknown
GSM444055,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Fracture,,Fracture,Genotype unknown
GSM444056,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Fracture,,Fracture,Genotype unknown
GSM1250482,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Low bone mass,,Low bone mass,Lrp5 KO
GSM1250483,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Low bone mass,,Low bone mass,Lrp5 KO
GSM1250484,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Low bone mass,,Low bone mass,Lrp5 KO
GSM1250479,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Severe osteoporosis,,Severe osteoporosis,Col1a1-Krm2
GSM1250480,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Severe osteoporosis,,Severe osteoporosis,Col1a1-Krm2
GSM1250481,Bone,Fracture callus,,Fracture callus,Diseases of the musculoskeletal system or connective tissue,Severe osteoporosis,,Severe osteoporosis,Col1a1-Krm2
GSM362115,Brain,Entorhinal cortex,,Entorhinal cortex,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362119,Brain,Entorhinal cortex,,Entorhinal cortex,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362124,Brain,Entorhinal cortex,,Entorhinal cortex,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362125,Brain,Entorhinal cortex,,Entorhinal cortex,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362126,Brain,Entorhinal cortex,,Entorhinal cortex,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362127,Brain,Entorhinal cortex,,Entorhinal cortex,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362128,Brain,Hippocampus,Hippocampus,Hippocampus,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362131,Brain,Hippocampus,Hippocampus,Hippocampus,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM362134,Brain,Hippocampus,Hippocampus,Hippocampus,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,APP transgenic
GSM806188,Brain,Hippocampus,Hippocampus,Hippocampus,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,3xTG-AD
GSM806189,Brain,Hippocampus,Hippocampus,Hippocampus,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,3xTG-AD
GSM806191,Brain,Hippocampus,Hippocampus,Hippocampus,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,3xTG-AD
GSM806199,Brain,Hippocampus,Hippocampus,Hippocampus,Diseases of the nervous system,Alzheimer's disease,,Alzheimer's disease,3xTG-AD
GSM205968,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205969,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205970,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205971,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205972,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205973,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205974,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205975,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205976,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM205977,Brain,Cerebellum,Cerebellum,Cerebellum,Diseases of the nervous system,Ataxia and waddling gait,,Ataxia and waddling gait,4LPSNA
GSM326506,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326507,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326508,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326509,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326510,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326511,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326512,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326513,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326514,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326515,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326516,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326517,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326518,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326519,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326520,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326521,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326522,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM326523,Lung,Lung,,Lung,Diseases of the respiratory system,Allergic asthma,,Allergic asthma,Genotype unknown
GSM69245,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69252,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69253,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69254,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69255,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69256,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69260,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69261,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69262,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69266,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM69267,Lung,Lung,,Lung,Diseases of the respiratory system,Cystic fibrosis,,Cystic fibrosis,Genotype unknown
GSM238460,Lung,Lung,,Lung,Diseases of the respiratory system,Ventilator-induced associated lung injury,,Ventilator-induced associated lung injury,Genotype unknown
GSM238461,Lung,Lung,,Lung,Diseases of the respiratory system,Ventilator-induced associated lung injury,,Ventilator-induced associated lung injury,Genotype unknown
GSM238462,Lung,Lung,,Lung,Diseases of the respiratory system,Ventilator-induced associated lung injury,,Ventilator-induced associated lung injury,Genotype unknown
GSM1105879,Skin,Skin,,Skin,Diseases of the skin,Alopecia areata,,Alopecia areata,Genotype unknown
GSM1105880,Skin,Skin,,Skin,Diseases of the skin,Alopecia areata,,Alopecia areata,Genotype unknown
GSM1105881,Skin,Skin,,Skin,Diseases of the skin,Alopecia areata,,Alopecia areata,Genotype unknown
GSM1889000,Skin,Skin,,Skin,Diseases of the skin,Wound,,Wound,Wild type
GSM1889001,Skin,Skin,,Skin,Diseases of the skin,Wound,,Wound,Wild type
GSM1889002,Skin,Skin,,Skin,Diseases of the skin,Wound,,Wound,Wild type
GSM1889003,Skin,Skin,,Skin,Diseases of the skin,Wound,,Wound,MFG-E8 KO
GSM1889004,Skin,Skin,,Skin,Diseases of the skin,Wound,,Wound,MFG-E8 KO
GSM1889005,Skin,Skin,,Skin,Diseases of the skin,Wound,,Wound,MFG-E8 KO
GSM1889006,Skin,Skin,,Skin,Diseases of the skin,Wound,,Wound,MFG-E8 KO
GSM488188,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488189,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488190,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488191,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488192,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488193,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488197,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488198,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM488199,Lung,Lung,,Lung,"Injury, poisoning or certain other consequences of external causes",18Gy thoracic irradiation sick,,18Gy thoracic irradiation sick,Genotype unknown
GSM982959,Skin,Melanoma allograft,,Melanoma allograft,Melanoma,Melanoma,,Melanoma,Genotype unknown
GSM982960,Skin,Melanoma allograft,,Melanoma allograft,Melanoma,Melanoma,,Melanoma,Genotype unknown
GSM982961,Skin,Melanoma allograft,,Melanoma allograft,Melanoma,Melanoma,,Melanoma,Genotype unknown
GSM982962,Skin,Melanoma allograft,,Melanoma allograft,Melanoma,Melanoma,,Melanoma,Genotype unknown
GSM982963,Skin,Melanoma allograft,,Melanoma allograft,Melanoma,Melanoma,,Melanoma,Genotype unknown
GSM982964,Skin,Melanoma allograft,,Melanoma allograft,Melanoma,Melanoma,,Melanoma,Genotype unknown
GSM982974,Skin,Melanoma allograft,,Melanoma allograft,Melanoma,Melanoma,,Melanoma,Genotype unknown
GSM566348,Brain,Brain,,Brain,Neoplasms,Brain cancer,Basal ganglia tumor,Basal ganglia tumor,"Pten, p53 KO"
GSM566351,Brain,Brain,,Brain,Neoplasms,Brain cancer,Basal ganglia tumor,Basal ganglia tumor,"Pten, p53 KO"
GSM566353,Brain,Brain,,Brain,Neoplasms,Brain cancer,Basal ganglia tumor,Basal ganglia tumor,"Pten, p53 KO"
GSM1299367,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Genotype unknown
GSM1299368,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Genotype unknown
GSM1299375,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Genotype unknown
GSM1299376,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Genotype unknown
GSM1299377,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Genotype unknown
GSM1299378,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Genotype unknown
GSM1562958,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Smarcb1 KO
GSM1562960,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Smarcb1 KO
GSM1562961,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Smarcb1 KO
GSM1562962,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Smarcb1 KO
GSM1562963,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Smarcb1 KO
GSM1562964,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Smarcb1 KO
GSM1562965,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Smarcb1 KO
GSM1895163,Brain,Brain,,Brain,Neoplasms,Brain cancer,Brain cancer,Brain cancer,Genotype unknown
GSM566355,Brain,Brain hemisphere,,Brain hemisphere,Neoplasms,Brain cancer,Brain cancer,Brain cancer,"Pten, p53 KO"
GSM566365,Brain,Brain hemisphere,,Brain hemisphere,Neoplasms,Brain cancer,Brain cancer,Brain cancer,"Pten, p53 KO"
GSM566366,Brain,Brain hemisphere,,Brain hemisphere,Neoplasms,Brain cancer,Brain cancer,Brain cancer,"Pten, p53 KO"
GSM1415633,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Cerebellar tumor,Cerebellar tumor,Genotype unknown
GSM1415634,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Cerebellar tumor,Cerebellar tumor,Genotype unknown
GSM1415639,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Cerebellar tumor,Cerebellar tumor,Genotype unknown
GSM1415646,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Cerebellar tumor,Cerebellar tumor,Genotype unknown
GSM1860273,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Cerebellar tumor,Cerebellar tumor,Genotype unknown
GSM1860274,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Cerebellar tumor,Cerebellar tumor,Genotype unknown
GSM1860275,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Cerebellar tumor,Cerebellar tumor,Genotype unknown
GSM566407,Brain,Cortex,Cortex,Cortex,Neoplasms,Brain cancer,Cortex tumor,Cortex tumor,"Pten, p53, Rb1 KO"
GSM566408,Brain,Cortex,Cortex,Cortex,Neoplasms,Brain cancer,Cortex tumor,Cortex tumor,"Pten, p53, Rb1 KO"
GSM566409,Brain,Cortex,Cortex,Cortex,Neoplasms,Brain cancer,Cortex tumor,Cortex tumor,"Pten, p53, Rb1 KO"
GSM566412,Brain,Cortex,Cortex,Cortex,Neoplasms,Brain cancer,Cortex tumor,Cortex tumor,"Pten, p53, Rb1 KO"
GSM566418,Brain,Cortex,Cortex,Cortex,Neoplasms,Brain cancer,Cortex tumor,Cortex tumor,"Pten, p53, Rb1 KO"
GSM541484,Brain,Cerebrum,,Cerebrum,Neoplasms,Brain cancer,Ependymoma,Ependymoma,Arf KO
GSM541485,Brain,Cerebrum,,Cerebrum,Neoplasms,Brain cancer,Ependymoma,Ependymoma,Arf KO
GSM541487,Brain,Cerebrum,,Cerebrum,Neoplasms,Brain cancer,Ependymoma,Ependymoma,Arf KO
GSM541491,Brain,Cerebrum,,Cerebrum,Neoplasms,Brain cancer,Ependymoma,Ependymoma,Arf KO
GSM541492,Brain,Cerebrum,,Cerebrum,Neoplasms,Brain cancer,Ependymoma,Ependymoma,Arf KO
GSM541494,Brain,Cerebrum,,Cerebrum,Neoplasms,Brain cancer,Ependymoma,Ependymoma,Arf KO
GSM541495,Brain,Cerebrum,,Cerebrum,Neoplasms,Brain cancer,Ependymoma,Ependymoma,Arf KO
GSM299512,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM299513,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM299515,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM299518,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM299521,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM299522,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM299525,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM299526,Brain,Cerebellum,Cerebellum,Cerebellum,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,SmoM2 KO
GSM490283,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490284,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490286,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490289,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490290,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490291,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490294,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490295,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490296,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490297,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490298,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490299,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490300,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490301,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM490302,Other tissues,Medulloblastoma allograft,,Medulloblastoma allograft,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,"Ptch heterozygote, p53 KO"
GSM915960,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM915962,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM915964,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM915966,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM915971,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM915973,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM915975,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM915977,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Ptch heterozygote
GSM547000,Tissue unknown,Tissue unknown,,Tissue unknown,Neoplasms,Brain cancer,Medulloblastoma,Medulloblastoma,Nude mice
