"","GSM494796","GSM494797","GSM494798","GSM494799","GSM494800","GSM494801","GSM494802"
"Myl4",6.2141013227504,6.25385159054909,6.25482156218017,6.2815480387173,6.48283505633537,6.15125135020661,6.07169525137637
"Myl5",6.22281526450541,6.65760337007214,6.92726145295419,6.77311848477794,6.38047848371036,6.54090815889392,6.66951501640681
"Myl6",12.3552382372822,12.1538204561965,12.1419877864897,12.4692950898145,12.4692950898145,12.4521000643645,12.2825612008902
"Mylk",9.51182228813457,9.43537580749623,8.98575531645147,9.62353832917005,10.0933426024382,9.37875895635799,8.69889122030372
"Myo1a",4.9182011019492,5.12316648449849,5.25524892327814,5.06156205762244,5.10364025373638,5.09787293500125,4.60087376635617
"Myo1c",9.75809768164968,9.89331454918404,9.57384832125714,10.03362748406,9.5978038365233,9.88342795860012,9.59512448179849
"Myo1d",4.22490575508879,3.85068201188058,4.49535325083857,4.24806620623879,4.13495907398143,4.84817559034703,5.05846489031657
"Myo1e",5.27151696221465,4.94100312914419,5.01525643216269,4.80268377804507,4.96031391671781,5.06997619006443,5.29507956650012
"Myo5a",6.52021909954009,5.83406746601408,6.9075950780271,5.98181326618547,5.64456076187565,7.08321588002477,6.69933952943645
"Myo6",5.43660294163968,5.25253606076416,5.39009704739513,5.63797265101206,5.70777270841454,5.74327721223639,5.5910019762436
"Myo7a",5.97222643738463,5.61118995131672,5.50048924131804,5.66290793043503,5.41171703164091,5.56899549263123,5.79550522320635
"Myo9a",8.41042465786877,8.7131212521896,8.55492690193163,9.09951546843388,8.98302451356733,8.69025102725594,8.66684691162907
"Myo9b",6.85930782423914,7.10781155784144,6.47351117195543,6.64223706608762,6.44801095654529,6.69337443603539,6.83368699110265
"Myo10",7.38655274744563,7.42164289091079,6.85729317915567,7.30275229071544,7.16855710387772,6.79811759492551,6.66207541440651
"Myoc",7.19079271625152,7.83970571049217,6.93533098354466,5.93293573776644,8.87965299990729,6.74016469642781,6.53598355668254
"Myod1",6.158009778775,6.2771700478488,6.04042410577044,6.46614319904473,5.9995664352578,6.20828158868562,6.04762550558966
"Myog",7.64497338853791,8.31363806625843,7.87912403794068,8.12608149919787,8.0707884745575,7.24319600889804,7.98624467990146
"Ppp1r12a",5.99619954901545,5.6201065302628,5.81931431976757,5.64549804958597,6.1348396578568,5.91188968457574,5.93389111753055
