"","B cell","Dendritic cell","Eosinophils","Macrophage","Mast cell","Monocyte","Neutrophil","NK cell","T cell","Basophil"
"A930002I21Rik",0,0,0,0,0,0,0.432245515452777,0,10.1010101010101,0
"Arhgef37",0.929368029739777,0,0,0.894454382826476,0,5.05050505050505,0,0,0,0
"Camp",235.130111524164,500,767.857142857143,703.04114490161,0,69.023569023569,16346.0125351199,416.666666666667,212.121212121212,56000
"Cd40lg",0,0,0,0,0,0,0,0,30.3030303030303,0
"Cebpe",84.5724907063197,63.2911392405063,125,388.193202146691,62.5,90.9090909090909,395.504646639291,41.6666666666667,121.212121212121,1143.2664756447
"Gfi1b",2.78810408921933,6.32911392405063,142.857142857143,3.5778175313059,0,3.36700336700337,4.75470066998055,0,0,2.86532951289398
"Gm13814",0,0,0,0.894454382826476,0,0,0,0,0,0
"Gm16194",0,0,0,0.894454382826476,0,0,0.216122757726389,0,0,5.73065902578797
"Gm43291",72.4907063197026,6.32911392405063,0,4.47227191413238,62.5,5.05050505050505,4.75470066998055,0,10.1010101010101,5.73065902578797
"Ngp",219.330855018587,575.949367088608,589.285714285714,313.059033989267,125,94.2760942760943,24088.1780851524,41.6666666666667,323.232323232323,70349.5702005731
"Pax5",71.5613382899628,18.9873417721519,0,8.05008944543828,62.5,3.36700336700337,6.91592824724443,0,0,0
"Prg2",52.9739776951673,63.2911392405063,35.7142857142857,30.4114490161002,93.75,18.5185185185185,276.637129889777,0,50.5050505050505,57.3065902578797
"5730522E02Rik",0.929368029739777,0,0,0,0,0,0,0,0,0
"Ccr6",0.929368029739777,6.32911392405063,0,0.894454382826476,0,0,0.648368273179166,0,0,0
"Clec4a4",0,0,0,0.894454382826476,0,0,0.432245515452777,0,0,0
"Ear6",0,0,0,0.894454382826476,0,0,15.1285930408472,0,0,5.73065902578797
"Epx",1.85873605947955,0,0,1.78890876565295,0,3.36700336700337,19.6671709531014,0,10.1010101010101,2.86532951289398
"Gzmk",0,0,0,0,0,0,0.432245515452777,0,20.2020202020202,0
"Tmigd3",0,6.32911392405063,0,0,0,0,0.432245515452777,0,0,0
"Tlr8",0,0,0,0,0,0,0.216122757726389,0,0,0
