"","B cell","Dendritic cell","Macrophage","Mast cell","NK cell","T cell","Basophil","Monocyte","Neutrophil"
"Tpsg1",0,0,0,1000,0,0,0,0,0
"Trac",94.4510035419126,50.2092050209205,71.5962441314554,0,467.700258397933,867.219917012448,0,0,36.8364030335861
"Xlr4b",15.3482880755608,12.5523012552301,12.9107981220657,0,10.3359173126615,30.4287690179806,2.86532951289398,16.5745856353591,4.33369447453954
"Zap70",14.1676505312869,12.5523012552301,11.7370892018779,0,80.1033591731266,103.734439834025,2.86532951289398,0,7.04225352112676
"9830107B12Rik",0,0,0,0,0,0,77.3638968481375,5.52486187845304,56.3380281690141
"A530030E21Rik",16.5289256198347,0,0,0,0,0,0,0,1.08342361863489
"A930002I21Rik",0,0,0,0,2.58397932816537,0,0,0,0
"Camp",0,0,0,0,0,0,56000,22.0994475138122,16923.0769230769
"Cd40lg",2.36127508854782,0,0,0,2.58397932816537,6.91562932226833,0,0,0.541711809317443
"Cebpe",0,0,5.86854460093897,0,0,0,1143.2664756447,93.9226519337017,348.320693391116
"Gfi1b",0,0,1.17370892018779,0,2.58397932816537,0,2.86532951289398,11.0497237569061,1.62513542795233
"Gm16194",0,0,0,0,0,0,5.73065902578797,0,0.541711809317443
"Gm43291",33.0578512396694,0,0,0,5.16795865633075,0,5.73065902578797,0,4.87540628385699
"Ngp",0,0,0,0,0,0,70349.5702005731,11.0497237569061,25985.3737811484
"Pax5",9.44510035419126,0,4.69483568075117,0,2.58397932816537,1.38312586445367,0,11.0497237569061,11.3759479956663
"Prg2",139.315230224321,8.36820083682008,2.34741784037559,0,0,0,57.3065902578797,38.6740331491713,646.26218851571
"Ccr6",2.36127508854782,12.5523012552301,0,90.9090909090909,2.58397932816537,5.53250345781466,0,0,0.541711809317443
"Clec4a4",0,0,2.34741784037559,0,0,0,0,5.52486187845304,1.08342361863489
"Ear6",0,0,0,0,0,0,5.73065902578797,11.0497237569061,133.802816901408
"Epx",0,0,0,0,0,0,2.86532951289398,16.5745856353591,90.465872156013
"Gzmk",1.18063754427391,0,0,0,0,0,0,0,0
"Tmigd3",1.18063754427391,4.18410041841004,0,0,0,0,0,0,1.08342361863489
"Muc6",0,0,0,0,0,0,0,0,1.08342361863489
"Tph1",0,0,1.17370892018779,363.636363636364,0,0,0,0,0
"Gm6209",0,0,0,0,0,0,0,0,0.541711809317443
