"","B cell","Dendritic cell","Macrophage","Neutrophil","NK cell","T cell","Basophil","Monocyte"
"Tgtp2",79.7546012269939,81.0344827586207,107.981220657277,57.1428571428571,58.8235294117647,65,0,11.0497237569061
"Themis",0,0,1.56494522691706,0,0,20,2.86532951289398,0
"Tlr13",12.2699386503067,15.5172413793103,51.2519561815336,85.7142857142857,0,5,0,66.2983425414365
"Tlr5",0,0,0.391236306729264,0,0,0,0,0
"Tnfrsf13c",98.159509202454,10.3448275862069,4.30359937402191,0,0,0,0,5.52486187845304
"Tnfrsf18",12.2699386503067,25.8620689655172,7.82472613458529,0,117.647058823529,132.5,25.7879656160458,0
"Tnip3",30.6748466257669,124.137931034483,23.8654147104851,0,0,5,0,0
"Tpsb2",0,0,0.391236306729264,0,0,0,0,0
"Trac",42.9447852760736,50,32.4726134585289,57.1428571428571,529.411764705882,480,0,0
"Xlr4b",6.13496932515337,12.0689655172414,5.4773082942097,0,58.8235294117647,27.5,2.86532951289398,16.5745856353591
"Zap70",18.4049079754601,22.4137931034483,13.302034428795,0,0,125,2.86532951289398,0
"9830107B12Rik",0,1.72413793103448,0.782472613458529,28.5714285714286,0,0,77.3638968481375,5.52486187845304
"A530030E21Rik",12.2699386503067,3.44827586206897,0.782472613458529,0,0,0,0,0
"A930002I21Rik",6.13496932515337,0,0,0,0,0,0,0
"Arhgef37",0,0,0.391236306729264,0,0,0,0,0
"Camp",24.5398773006135,25.8620689655172,25.0391236306729,4685.71428571429,0,27.5,56000,22.0994475138122
"Cd40lg",0,1.72413793103448,0,0,58.8235294117647,10,0,0
"Cebpe",0,0,0,28.5714285714286,0,0,1143.2664756447,93.9226519337017
"Gfi1b",0,1.72413793103448,1.56494522691706,0,0,0,2.86532951289398,11.0497237569061
"Gm13814",6.13496932515337,0,0,0,0,0,0,0
"Gm16194",0,0,0,0,0,0,5.73065902578797,0
"Gm43291",30.6748466257669,0,0.391236306729264,0,0,0,5.73065902578797,0
"Ngp",73.6196319018405,37.9310344827586,31.6901408450704,6000,0,25,70349.5702005731,11.0497237569061
"Pax5",67.4846625766871,0,1.17370892018779,0,0,0,0,11.0497237569061
"Prg2",24.5398773006135,6.89655172413793,12.5195618153365,1514.28571428571,0,10,57.3065902578797,38.6740331491713
"Ccr6",12.2699386503067,3.44827586206897,0,0,0,2.5,0,0
"Clec4a4",0,1.72413793103448,0.782472613458529,0,0,0,0,5.52486187845304
"Ear6",0,0,2.73865414710485,142.857142857143,0,0,5.73065902578797,11.0497237569061
"Epx",0,0,0.391236306729264,171.428571428571,0,5,2.86532951289398,16.5745856353591
"Gzmk",0,0,1.56494522691706,0,0,5,0,0
"Tmigd3",0,1.72413793103448,1.17370892018779,0,0,0,0,0
"Tlr8",0,0,0.391236306729264,0,0,0,0,0
"4930430E12Rik",0,0,2.73865414710485,0,0,0,0,0
"Gm8221",0,0,0.391236306729264,0,0,0,0,0
