"","B cell","Dendritic cell","Macrophage","T cell","Basophil","Monocyte","Neutrophil","NK cell"
"Clec2g",4.01606425702811,0,4.09836065573771,0,0,0,0,0
"Clec4a3",2.00803212851406,0,151.639344262295,0,2.86532951289398,127.07182320442,29.2524377031419,34.2857142857143
"Clec4e",0,0,28.6885245901639,0,71.6332378223496,16.5745856353591,235.10292524377,34.2857142857143
"Clec5a",0.502008032128514,17.3913043478261,32.7868852459016,0,169.054441260745,99.4475138121547,116.46803900325,2.85714285714286
"Cma1",0,0,0,0.529661016949153,0,0,4.87540628385699,342.857142857143
"Ctsw",57.2289156626506,121.739130434783,94.2622950819672,1069.91525423729,0,0,29.2524377031419,605.714285714286
"Cxcl2",5.02008032128514,95.6521739130435,1114.75409836066,21.1864406779661,11.4613180515759,0,49.8374864572048,2.85714285714286
"Cxcl3",0,0,102.459016393443,0.529661016949153,0,0,0,0
"Cxcr2",0,0,4.09836065573771,0,80.2292263610315,11.0497237569061,308.775731310943,20
"Cxcr6",10.0401606425703,0,20.4918032786885,209.745762711864,0,0,4.33369447453954,5.71428571428571
"Dpep2",1.50602409638554,0,98.3606557377049,3.17796610169492,0,22.0994475138122,0.541711809317443,0
"Ear1",0,0,0,0,2.86532951289398,11.0497237569061,52.546045503792,0
"Ear2",0,86.9565217391304,4.09836065573771,0,108.882521489971,160.220994475138,146.26218851571,40
"F730016J06Rik",0,0,4.09836065573771,0.529661016949153,11.4613180515759,0,16.7930660888407,0
"Fcer1a",0.502008032128514,0,0,0,63.0372492836676,0,40.6283856988082,0
"Fcer2a",18.574297188755,0,0,1.05932203389831,2.86532951289398,0,24.3770314192849,74.2857142857143
"Fcgr4",3.5140562248996,26.0869565217391,348.360655737705,1.58898305084746,40.1146131805158,0,75.839653304442,28.5714285714286
"Fcmr",59.7389558232932,8.69565217391304,4.09836065573771,6.88559322033898,11.4613180515759,5.52486187845304,76.3813651137595,185.714285714286
"Fcrl1",50.2008032128514,0,8.19672131147541,11.1228813559322,5.73065902578797,5.52486187845304,13.5427952329361,42.8571428571429
"G430095P16Rik",0,17.3913043478261,0,1.05932203389831,2.86532951289398,33.1491712707182,4.33369447453954,2.85714285714286
"Gapt",1.50602409638554,43.4782608695652,20.4918032786885,0.529661016949153,85.9598853868195,171.270718232044,66.0888407367281,2.85714285714286
"Gm13986",0,0,0,0,5.73065902578797,5.52486187845304,3.25027085590466,0
"Gm20324",7.0281124497992,34.7826086956522,4.09836065573771,13.2415254237288,2.86532951289398,0,8.66738894907909,14.2857142857143
"Gm5544",0,0,0,0.529661016949153,0,0,0,0
"Gm8113",0,0,0,0.529661016949153,0,5.52486187845304,12.4593716143012,0
"Gm9733",0,0,0,0.529661016949153,20.0573065902579,27.6243093922652,31.4192849404117,8.57142857142857
"Gzma",403.112449799197,478.260869565217,659.83606557377,19849.5762711864,5.73065902578797,5.52486187845304,27.0855904658722,7760
"Gzmb",74.2971887550201,86.9565217391304,131.147540983607,6126.58898305085,0,0,1.08342361863489,357.142857142857
"H2-Eb2",29.1164658634538,8.69565217391304,8.19672131147541,1.58898305084746,0,0,1.62513542795233,8.57142857142857
"I830127L07Rik",17.0682730923695,0,4.09836065573771,1.05932203389831,1888.25214899713,1674.03314917127,1177.1397616468,117.142857142857
"Ifi205",1.00401606425703,104.347826086957,28.6885245901639,0,0,11.0497237569061,0,2.85714285714286
"Ifitm6",1.50602409638554,321.739130434783,8.19672131147541,2.11864406779661,1753.58166189112,303.867403314917,1921.45178764897,105.714285714286
"Il4",0.502008032128514,0,16.3934426229508,3.70762711864407,8.59598853868195,0,0,0
"Il9r",1.50602409638554,0,4.09836065573771,1.05932203389831,0,0,1.08342361863489,0
"Itga2b",1.50602409638554,0,0,1.05932203389831,14.3266475644699,0,7.04225352112676,0
"Itgam",6.02409638554217,43.4782608695652,192.622950819672,6.88559322033898,412.607449856734,132.596685082873,382.448537378115,122.857142857143
"Itgax",5.02008032128514,452.173913043478,233.606557377049,62.5,2.86532951289398,11.0497237569061,7.04225352112676,117.142857142857
"Izumo1r",8.53413654618474,8.69565217391304,0,45.021186440678,2.86532951289398,0,1.62513542795233,8.57142857142857
"Klra13-ps",0,0,0,1.58898305084746,0,0,8.12567713976165,674.285714285714
"Klra7",0,0,0,37.0762711864407,0,0,4.33369447453954,420
"Klra8",0,0,0,0,0,0,7.5839653304442,700
"Klrc1",1.00401606425703,0,0,18.0084745762712,2.86532951289398,0,1.62513542795233,137.142857142857
"Klrd1",8.03212851405622,286.95652173913,32.7868852459016,454.978813559322,0,11.0497237569061,18.4182015167931,817.142857142857
"Klre1",1.00401606425703,17.3913043478261,0,40.7838983050847,0,0,2.16684723726977,348.571428571429
"Klrg1",1.50602409638554,0,0,31.25,0,0,2.16684723726977,425.714285714286
"Klri2",0,0,0,1.58898305084746,0,0,1.08342361863489,171.428571428571
"Klrk1",0.502008032128514,34.7826086956522,16.3934426229508,28.0720338983051,0,5.52486187845304,1.62513542795233,440
"Lck",75.8032128514056,43.4782608695652,40.983606557377,1079.97881355932,11.4613180515759,0,56.8797399783315,525.714285714286
"Ly6g",1.50602409638554,0,0,0,676.21776504298,116.022099447514,919.284940411701,8.57142857142857
"Lyz1",89.859437751004,373.913043478261,1077.86885245902,207.097457627119,20.0573065902579,16.5745856353591,18.9599133261105,0
"Mcemp1",0,130.434782608696,20.4918032786885,0.529661016949153,736.389684813754,337.016574585635,771.939328277356,37.1428571428571
"Mfsd7a",0.502008032128514,0,4.09836065573771,1.58898305084746,0,33.1491712707182,1.08342361863489,0
"Mmp25",0,8.69565217391304,20.4918032786885,0,25.7879656160458,0,52.0043336944745,0
"Ms4a2",0,0,0,0.529661016949153,51.5759312320917,0,16.2513542795233,0
