"","B cell","Basophil","Dendritic cell","Macrophage","Monocyte","Neutrophil","NK cell","T cell"
"Dpep2",4.17412045319022,0,19.8019801980198,56.0538116591928,22.0994475138122,0.541711809317443,0,2.9673590504451
"Ear1",2.38521168753727,2.86532951289398,19.8019801980198,0,11.0497237569061,52.546045503792,0,0
"Ear2",17.8890876565295,108.882521489971,29.7029702970297,361.733931240658,160.220994475138,146.26218851571,40,16.0237388724036
"F630040K05Rik",0,0,0,0,0,0,0,0
"F730016J06Rik",0.596302921884317,11.4613180515759,9.9009900990099,2.98953662182362,0,16.7930660888407,0,0
"Fcer1a",0.596302921884317,63.0372492836676,0,0.747384155455904,0,40.6283856988082,0,0.593471810089021
"Fcer2a",206.320810971974,2.86532951289398,0,44.0956651718984,0,24.3770314192849,74.2857142857143,34.4213649851632
"Fcgr4",16.1001788908766,40.1146131805158,19.8019801980198,109.118086696562,0,75.839653304442,28.5714285714286,10.6824925816024
"Fcmr",647.584973166369,11.4613180515759,29.7029702970297,104.633781763827,5.52486187845304,76.3813651137595,185.714285714286,108.605341246291
"Fcrl1",150.268336314848,5.73065902578797,9.9009900990099,20.9267563527653,5.52486187845304,13.5427952329361,42.8571428571429,31.4540059347181
"G430095P16Rik",7.75193798449612,2.86532951289398,0,20.9267563527653,33.1491712707182,4.33369447453954,2.85714285714286,10.0890207715134
"Gapt",13.7149672033393,85.9598853868195,39.6039603960396,30.6427503736921,171.270718232044,66.0888407367281,2.85714285714286,2.9673590504451
"Gm13986",0,5.73065902578797,0,0,5.52486187845304,3.25027085590466,0,0
"Gm20324",14.3112701252236,2.86532951289398,9.9009900990099,12.7055306427504,0,8.66738894907909,14.2857142857143,27.299703264095
"Gm5544",0,0,0,0,0,0,0,0
"Gm8113",2.38521168753727,0,0,2.98953662182362,5.52486187845304,12.4593716143012,0,0
"Gm9733",4.77042337507454,20.0573065902579,0,122.571001494768,27.6243093922652,31.4192849404117,8.57142857142857,1.78041543026706
"Gzma",64.4007155635063,5.73065902578797,29.7029702970297,99.4020926756353,5.52486187845304,27.0855904658722,7760,172.700296735905
"Gzmb",2.98151460942159,0,0,5.23168908819133,0,1.08342361863489,357.142857142857,10.0890207715134
"H2-Eb2",37.567084078712,0,0,5.23168908819133,0,1.62513542795233,8.57142857142857,3.56083086053412
"I830127L07Rik",109.12343470483,1888.25214899713,79.2079207920792,482.062780269058,1674.03314917127,1177.1397616468,117.142857142857,36.7952522255193
"Ifi205",2.98151460942159,0,29.7029702970297,53.0642750373692,11.0497237569061,0,2.85714285714286,3.56083086053412
"Ifitm6",107.334525939177,1753.58166189112,316.831683168317,929.745889387145,303.867403314917,1921.45178764897,105.714285714286,73.5905044510386
"Il4",0.596302921884317,8.59598853868195,0,0,0,0,0,0
"Il9r",9.54084675014908,0,0,0.747384155455904,0,1.08342361863489,0,1.18694362017804
"Itga2b",1.19260584376863,14.3266475644699,9.9009900990099,4.48430493273543,0,7.04225352112676,0,1.18694362017804
"Itgam",23.2558139534884,412.607449856734,108.910891089109,189.088191330344,132.596685082873,382.448537378115,122.857142857143,8.30860534124629
"Itgax",3.5778175313059,2.86532951289398,59.4059405940594,25.4110612855007,11.0497237569061,7.04225352112676,117.142857142857,5.93471810089021
"Izumo1r",9.54084675014908,2.86532951289398,0,1.49476831091181,0,1.62513542795233,8.57142857142857,27.893175074184
"Klra13-ps",11.9260584376863,0,9.9009900990099,11.9581464872945,0,8.12567713976165,674.285714285714,65.2818991097923
"Klra7",4.17412045319022,0,0,6.72645739910314,0,4.33369447453954,420,27.893175074184
"Klra8",12.5223613595707,0,0,14.2002989536622,0,7.5839653304442,700,18.9910979228487
"Klrc1",7.15563506261181,2.86532951289398,0,5.97907324364723,0,1.62513542795233,137.142857142857,16.0237388724036
"Klrd1",41.7412045319022,0,267.326732673267,53.8116591928251,11.0497237569061,18.4182015167931,817.142857142857,248.071216617211
"Klre1",6.55933214072749,0,9.9009900990099,6.72645739910314,0,2.16684723726977,348.571428571429,13.6498516320475
"Klrg1",2.38521168753727,0,0,8.96860986547085,0,2.16684723726977,425.714285714286,20.1780415430267
"Klri2",5.36672629695885,0,9.9009900990099,3.73692077727952,0,1.08342361863489,171.428571428571,5.93471810089021
"Klrk1",7.75193798449612,0,29.7029702970297,13.4529147982063,5.52486187845304,1.62513542795233,440,24.3323442136499
"Lck",143.70900417412,11.4613180515759,29.7029702970297,81.4648729446936,0,56.8797399783315,525.714285714286,645.103857566766
"Ly6g",29.2188431723315,676.21776504298,39.6039603960396,24.6636771300448,116.022099447514,919.284940411701,8.57142857142857,1.78041543026706
"Lyz1",4.17412045319022,20.0573065902579,0,66.5171898355755,16.5745856353591,18.9599133261105,0,1.18694362017804
"Mcemp1",61.4192009540847,736.389684813754,148.514851485149,240.657698056801,337.016574585635,771.939328277356,37.1428571428571,42.1364985163205
"Mfsd7a",1.19260584376863,0,0,26.1584454409567,33.1491712707182,1.08342361863489,0,0.593471810089021
"Mmp25",1.78890876565295,25.7879656160458,0,0,0,52.0043336944745,0,0
"Ms4a2",0.596302921884317,51.5759312320917,0,1.49476831091181,0,16.2513542795233,0,0.593471810089021
"Ms4a4b",183.66129994037,14.3266475644699,89.1089108910891,186.09865470852,55.2486187845304,76.9230769230769,1734.28571428571,1445.69732937685
"Mzb1",413.237924865832,5.73065902578797,39.6039603960396,32.8849028400598,5.52486187845304,28.169014084507,51.4285714285714,23.7388724035608
"Ncr1",11.329755515802,0,9.9009900990099,14.2002989536622,0,3.25027085590466,645.714285714286,16.0237388724036
"Nkg7",202.742993440668,246.418338108883,89.1089108910891,689.8355754858,110.497237569061,271.939328277356,3260,737.685459940653
"Nudt17",0.596302921884317,0,0,3.73692077727952,5.52486187845304,1.08342361863489,0,0.593471810089021
"Olr1",0.596302921884317,37.2492836676218,0,8.96860986547085,0,18.4182015167931,0,0
"Padi4",3.5778175313059,94.5558739255014,0,22.4215246636771,33.1491712707182,169.014084507042,8.57142857142857,2.37388724035608
"Prf1",17.2927847346452,0,19.8019801980198,20.9267563527653,0,7.5839653304442,491.428571428571,37.9821958456973
"Prg3",2.98151460942159,14.3266475644699,0,2.98953662182362,11.0497237569061,35.7529794149512,0,0
"Prss57",11.329755515802,131.805157593123,0,162.182361733931,33.1491712707182,86.1321776814735,0,0.593471810089021
"Rab44",17.8890876565295,134.670487106017,9.9009900990099,51.5695067264574,60.7734806629834,85.0487540628386,5.71428571428571,2.37388724035608
"Rasgrp4",29.2188431723315,169.054441260745,99.009900990099,109.118086696562,116.022099447514,202.058504875406,22.8571428571429,24.3323442136499
"Retnlg",79.9045915324985,8.59598853868195,198.019801980198,150.224215246637,187.845303867403,10774.6478873239,245.714285714286,102.077151335312
"Rgs18",12.5223613595707,74.4985673352435,89.1089108910891,29.1479820627803,38.6740331491713,53.0877573131094,5.71428571428571,1.78041543026706
"Sh2d1a",8.34824090638044,0,0,5.97907324364723,0,3.25027085590466,105.714285714286,59.9406528189911
"Sh2d2a",23.2558139534884,0,9.9009900990099,6.72645739910314,5.52486187845304,8.12567713976165,194.285714285714,69.4362017804154
"Siglecf",2.38521168753727,8.59598853868195,0,11.9581464872945,11.0497237569061,18.4182015167931,0,1.18694362017804
